Client,Round,R² Score
Client 9,2011_9,0.9245043183489633
Client 9,2011_10,0.9422762588898054
Client 9,2011_11,0.8374047882698614
Client 9,2011_12,0.8511443805352994
Client 9,2012_1,0.9499142754059873
Client 9,2012_2,0.9430725972832248
Client 9,2012_3,0.9445012096883207
Client 9,2012_4,0.9150004327179504
Client 9,2012_5,0.9184510734979509
Client 9,2012_6,0.9169923365275643
Client 9,2012_7,0.9572082109924847
Client 9,2012_8,0.9622071234080879
Client 9,2012_9,0.9296645875791213
Client 9,2012_10,0.9498701983458276
